it	prior	PP_lik	BD_lik	q_0	q_1	q_2	root_age	death_age	w_shape	w_scale_0	mean_longevity_0	tot_length	
152	-12.636183	-5947.316670	-1192.098819	1.754215	0.952603	0.015773	24.378732	0.000562	0.728796	1.845671	2.251744	1684.574157
153	-12.682112	-5921.065150	-1201.756571	1.773886	1.022521	0.015921	24.326746	0.019740	0.617151	1.202451	1.745695	1674.403644
154	-12.655993	-6049.781830	-1197.556890	1.849869	0.832483	0.015719	24.398731	0.007317	0.827436	2.078064	2.300348	1741.780427
155	-12.104777	-5987.791465	-1211.272796	1.706302	0.784848	0.036029	24.036248	0.001337	0.649645	1.607068	2.197029	1720.316534
156	-12.398658	-5968.223329	-1206.758492	1.792155	0.797009	0.023246	24.376846	0.121753	0.618755	1.394264	2.017717	1694.752994
157	-12.438846	-5977.075292	-1194.187687	1.818731	0.953103	0.028610	25.248279	0.074210	0.737027	1.758924	2.125149	1693.987713
158	-12.411603	-5969.131129	-1197.184513	1.857950	0.770879	0.024447	24.402447	0.001214	0.733576	1.687483	2.047076	1699.722567
159	-13.170549	-5974.106972	-1191.979206	1.828545	0.976889	0.005804	23.873497	0.024148	0.735434	1.683083	2.037292	1688.869704
160	-12.968508	-5930.019626	-1177.582701	1.791677	0.896204	0.008421	25.123681	0.188617	0.708281	1.677665	2.100233	1652.393053
161	-13.099049	-5919.138812	-1192.605821	1.812708	1.110164	0.008105	24.349319	0.052533	0.712790	1.686437	2.098866	1667.146016
162	-12.473800	-5983.317923	-1207.246532	1.744389	0.935471	0.020315	23.883308	0.002628	0.727784	1.808790	2.209438	1697.037035
163	-13.525747	-6013.578089	-1194.208102	1.769939	1.035729	0.003047	24.464854	0.005936	0.832762	2.304213	2.539927	1695.149693
164	-13.658676	-6025.417948	-1203.415011	1.738591	0.789454	0.001582	24.079502	0.080347	0.716995	1.808901	2.239229	1715.470296
165	-13.869925	-5955.482957	-1190.210085	1.778315	0.853603	0.001163	24.110264	0.111853	0.753994	1.722929	2.042479	1681.412310
166	-14.361813	-5961.782622	-1186.108366	1.866192	0.908801	0.000549	24.239197	0.011664	0.755184	1.944641	2.302359	1681.321589
167	-13.514204	-6002.998847	-1195.833290	1.788471	0.859859	0.002548	24.431806	0.113890	0.779293	1.979068	2.286039	1705.491688
168	-13.217818	-5963.393217	-1198.261859	1.759712	0.926973	0.004848	24.820736	0.073657	0.685617	1.588853	2.052314	1698.404532
169	-12.846075	-5953.977713	-1196.062955	1.825031	0.760416	0.009212	23.903017	0.103965	0.802881	2.165742	2.447513	1691.869793
170	-12.598185	-5971.588401	-1200.295626	1.874742	0.780632	0.016693	23.893181	0.110549	0.704436	1.797883	2.262225	1704.458806
171	-12.776661	-5907.646926	-1211.036465	1.794357	0.819220	0.010761	24.334486	0.088461	0.661220	1.504097	2.016981	1698.293895
172	-13.081602	-5985.212303	-1203.439033	1.839662	0.852461	0.006145	23.708156	0.030202	0.751645	1.857415	2.207533	1718.027068
173	-13.070895	-6003.539256	-1197.055651	1.818638	0.801439	0.006043	24.240093	0.006810	0.792562	1.942438	2.215706	1712.880039
174	-13.531023	-6024.111631	-1197.229023	1.772703	0.881962	0.002574	24.778604	0.075734	0.790290	2.150110	2.457758	1723.396176
175	-12.869209	-6064.370629	-1215.101819	1.844836	0.804808	0.010237	24.606907	0.013681	0.777397	2.264415	2.620493	1739.267222
176	-12.691221	-6056.244922	-1203.526872	1.732016	0.805633	0.011159	23.925928	0.073924	0.879558	2.111842	2.250911	1739.277618
177	-12.278079	-6088.726671	-1210.547502	1.789797	0.839653	0.033736	24.856355	0.203823	0.869921	2.303463	2.471011	1754.350425
178	-12.086733	-6023.488406	-1199.564170	1.762205	0.886477	0.050110	24.831090	0.061888	0.778306	1.971242	2.279190	1720.894975
179	-12.710730	-6006.252020	-1191.076565	1.815786	1.084500	0.018493	24.902553	0.031249	0.779098	1.895638	2.190081	1694.626147
180	-12.577136	-5964.044362	-1193.307947	1.838521	1.045652	0.023865	24.711896	0.013760	0.723778	1.824410	2.239415	1675.000007
181	-13.270084	-5957.028267	-1194.610554	1.779116	1.065758	0.005249	24.462501	0.334099	0.862024	2.104645	2.270082	1671.347306
