Species	Status	MinT	MaxT
Amphimoschus_ponteleviensis	extinct	14.2	16.4
Amphimoschus_ponteleviensis	extinct	14.2	16.4
Amphimoschus_ponteleviensis	extinct	14.2	16.4
Amphimoschus_ponteleviensis	extinct	16.4	17.2
Amphimoschus_ponteleviensis	extinct	14.2	16.4
Amphimoschus_ponteleviensis	extinct	14.2	16.4
Amphimoschus_ponteleviensis	extinct	14.2	16.4
Amphimoschus_ponteleviensis	extinct	14.2	16.4
Amphimoschus_ponteleviensis	extinct	14.2	16.4
Amphimoschus_ponteleviensis	extinct	16.4	17.2
Amphimoschus_ponteleviensis	extinct	16.4	17.2
Amphimoschus_ponteleviensis	extinct	14.2	16.4
Amphimoschus_ponteleviensis	extinct	14.2	16.4
Amphimoschus_ponteleviensis	extinct	14.2	16.4
Amphimoschus_ponteleviensis	extinct	14.2	16.4
Amphimoschus_ponteleviensis	extinct	14.2	16.4
Amphimoschus_ponteleviensis	extinct	14.2	16.4
Amphimoschus_ponteleviensis	extinct	14.2	16.4
Amphimoschus_ponteleviensis	extinct	14.2	16.4
Amphimoschus_ponteleviensis	extinct	14.2	16.4
Amphimoschus_ponteleviensis	extinct	14.2	16.4
Amphimoschus_ponteleviensis	extinct	14.2	16.4
Amphimoschus_ponteleviensis	extinct	14.2	16.4
Amphimoschus_ponteleviensis	extinct	12.9	16.4
Amphiprox_anocerus	extinct	9.9	11.2
Amphiprox_anocerus	extinct	9.7	9.8
Amphiprox_anocerus	extinct	7.6	8.9
Amphiprox_anocerus	extinct	9.9	11.2
Amphiprox_anocerus	extinct	9.9	11.2
Amphiprox_anocerus	extinct	8.9	11.2
Amphiprox_anocerus	extinct	9.9	11.2
Amphiprox_anocerus	extinct	9.9	11.2
Amphiprox_anocerus	extinct	9.9	11.2
Amphitragulus_elegans	extinct	19.5	22.4
Amphitragulus_elegans	extinct	19.5	22.4
Amphitragulus_elegans	extinct	19.5	22.4
Amphitragulus_elegans	extinct	19.5	22.4
Amphitragulus_elegans	extinct	19.5	22.4
Amphitragulus_elegans	extinct	17.2	19.5
Amphitragulus_feningrei	extinct	24	25
Amphitragulus_feningrei	extinct	23	24
Amphitragulus_feningrei	extinct	23	24
Amphitragulus_feningrei	extinct	23.5	24
Amphitragulus_lemanense	extinct	24	25
Amphitragulus_lemanense	extinct	19.5	22.4
Amphitragulus_lemanense	extinct	19.5	22.4
Amynodon_advenus	extinct	37.2	40.4
Amynodon_advenus	extinct	40	42.78
Amynodon_advenus	extinct	40	42.78
Amynodon_advenus	extinct	40	42.78
Amynodon_advenus	extinct	40	42.78
Amynodon_advenus	extinct	40	42.78
Amynodon_advenus	extinct	40	42.78
Amynodon_advenus	extinct	40	42.78
Amynodon_advenus	extinct	40	42.78
Amynodon_advenus	extinct	40	42.78
Amynodon_advenus	extinct	40	42.78
Amynodon_advenus	extinct	40	42.78
Amynodon_advenus	extinct	42.8	43.8
Amynodon_advenus	extinct	42.8	43.8
Amynodon_advenus	extinct	42.8	43.8
Amynodon_advenus	extinct	42.8	43.8
Amynodon_advenus	extinct	42.8	43.8
Amynodon_advenus	extinct	43.8	46.3
Amynodon_advenus	extinct	43.8	46.3
Amynodon_advenus	extinct	46.3	46.9
Amynodon_altidens	extinct	40.4	46.2
Amynodon_alxaensis	extinct	27.82	33.9
Amynodon_alxaensis	extinct	27.82	33.9
Amynodon_reedi	extinct	40.4	46.2
Amynodon_reedi	extinct	40.4	46.2
Amynodon_reedi	extinct	40.4	46.2
Amynodon_reedi	extinct	40.4	46.2
Amynodon_reedi	extinct	40.4	46.2
Amynodon_reedi	extinct	40.4	46.2
Amynodon_reedi	extinct	40.4	46.2
Amynodon_sinensis	extinct	33.9	37.2
Amynodon_sinensis	extinct	37.2	48.6
Amynodon_sinensis	extinct	37.2	48.6
Amynodon_sinensis	extinct	37.2	48.6
Amynodon_sinensis	extinct	37.2	48.6
Amynodon_sinensis	extinct	37.2	48.6
Amynodon_sinensis	extinct	37.2	48.6
Amynodon_watanabei	extinct	33.9	41.2
Amynodon_watanabei	extinct	33.9	41.2
Amynodontopsis_bodei	extinct	33.9	37.2
Amynodontopsis_bodei	extinct	37.2	40.4
Amynodontopsis_bodei	extinct	37.2	40.4
Amynodontopsis_bodei	extinct	40	42.78
Amynodontopsis_bodei	extinct	40	42.78
Amynodontopsis_bodei	extinct	40	42.78
Amynodontopsis_bodei	extinct	40	42.78
Amynodontopsis_bodei	extinct	40.4	46.3
