fraction,tree,extinction,estimate,mape
0.25,tree.146,no_ext,mape.median.new,113.39861223584803
0.25,tree.147,no_ext,mape.incomplete,22.223774526552408
0.25,tree.147,no_ext,mape.mean,34.514974891904025
0.25,tree.147,no_ext,mape.median,24.520930844230985
0.25,tree.147,no_ext,mape.mean.new,26.680766855948047
0.25,tree.147,no_ext,mape.median.new,22.223778005881744
0.25,tree.148,no_ext,mape.incomplete,73.15653182610656
0.25,tree.148,no_ext,mape.mean,71.42810930730082
0.25,tree.148,no_ext,mape.median,73.90564678403554
0.25,tree.148,no_ext,mape.mean.new,66.91265735635913
0.25,tree.148,no_ext,mape.median.new,73.15653267840426
0.25,tree.149,no_ext,mape.incomplete,387.5537945855311
0.25,tree.149,no_ext,mape.mean,319.2662393458145
0.25,tree.149,no_ext,mape.median,388.56713733036355
0.25,tree.149,no_ext,mape.mean.new,303.0201421915898
0.25,tree.149,no_ext,mape.median.new,387.55378728540967
0.25,tree.15,no_ext,mape.incomplete,82.7937154984718
0.25,tree.15,no_ext,mape.mean,78.8184336367004
0.25,tree.15,no_ext,mape.median,84.41677323717774
0.25,tree.15,no_ext,mape.mean.new,71.20447088694272
0.25,tree.15,no_ext,mape.median.new,82.79371637604292
0.25,tree.150,no_ext,mape.incomplete,118.89826156143019
0.25,tree.150,no_ext,mape.mean,107.56431413909363
0.25,tree.150,no_ext,mape.median,119.96233645107462
0.25,tree.150,no_ext,mape.mean.new,92.1496869400916
0.25,tree.150,no_ext,mape.median.new,118.89826118262259
0.25,tree.151,no_ext,mape.incomplete,37.86115041025768
0.25,tree.151,no_ext,mape.mean,44.66584266432169
0.25,tree.151,no_ext,mape.median,38.33775164434888
0.25,tree.151,no_ext,mape.mean.new,36.85970804637317
0.25,tree.151,no_ext,mape.median.new,37.86115178892796
0.25,tree.152,no_ext,mape.incomplete,96.00116135616983
0.25,tree.152,no_ext,mape.mean,90.37780499366896
0.25,tree.152,no_ext,mape.median,96.96478552316691
0.25,tree.152,no_ext,mape.mean.new,83.14691986859543
0.25,tree.152,no_ext,mape.median.new,96.00116173016366
0.25,tree.153,no_ext,mape.incomplete,110.87155823819282
0.25,tree.153,no_ext,mape.mean,100.92424219260774
0.25,tree.153,no_ext,mape.median,111.23231140866817
0.25,tree.153,no_ext,mape.mean.new,98.98016535653782
0.25,tree.153,no_ext,mape.median.new,110.87155765142802
0.25,tree.154,no_ext,mape.incomplete,83.29332096581047
0.25,tree.154,no_ext,mape.mean,82.9141468544215
0.25,tree.154,no_ext,mape.median,84.17516579512882
0.25,tree.154,no_ext,mape.mean.new,77.52548204782038
0.25,tree.154,no_ext,mape.median.new,83.29332172461413
0.25,tree.155,no_ext,mape.incomplete,82.95451675702938
0.25,tree.155,no_ext,mape.mean,79.62845515234879
0.25,tree.155,no_ext,mape.median,84.53065793196393
0.25,tree.155,no_ext,mape.mean.new,70.6153694230086
0.25,tree.155,no_ext,mape.median.new,82.9545173500702
0.25,tree.156,no_ext,mape.incomplete,71.40936962744567
0.25,tree.156,no_ext,mape.mean,72.41396676002456
0.25,tree.156,no_ext,mape.median,72.3014751195251
0.25,tree.156,no_ext,mape.mean.new,67.58237652089424
0.25,tree.156,no_ext,mape.median.new,71.40937079582814
0.25,tree.157,no_ext,mape.incomplete,85.50810558896897
0.25,tree.157,no_ext,mape.mean,80.91650566078918
0.25,tree.157,no_ext,mape.median,86.03338312219391
0.25,tree.157,no_ext,mape.mean.new,72.93002366877172
0.25,tree.157,no_ext,mape.median.new,85.50810590978556
0.25,tree.158,no_ext,mape.incomplete,472.3281741303094
0.25,tree.158,no_ext,mape.mean,390.4618153581751
0.25,tree.158,no_ext,mape.median,476.3525696993977
0.25,tree.158,no_ext,mape.mean.new,352.30845161269866
0.25,tree.158,no_ext,mape.median.new,472.32817076328854
0.25,tree.159,no_ext,mape.incomplete,89.24170994486866
0.25,tree.159,no_ext,mape.mean,84.549478786895
0.25,tree.159,no_ext,mape.median,90.12577759593545
0.25,tree.159,no_ext,mape.mean.new,75.25233189307039
0.25,tree.159,no_ext,mape.median.new,89.24171056245027
0.25,tree.16,no_ext,mape.incomplete,57.7318918672249
0.25,tree.16,no_ext,mape.mean,59.841819031770825
0.25,tree.16,no_ext,mape.median,58.31649793869118
0.25,tree.16,no_ext,mape.mean.new,56.71122223562648
0.25,tree.16,no_ext,mape.median.new,57.73189296803227
0.25,tree.160,no_ext,mape.incomplete,203.53806290697491
0.25,tree.160,no_ext,mape.mean,174.37940207022476
0.25,tree.160,no_ext,mape.median,203.64082336780353
0.25,tree.160,no_ext,mape.mean.new,165.6896976314549
0.25,tree.160,no_ext,mape.median.new,203.53805981652945
0.25,tree.161,no_ext,mape.incomplete,127.24861036183263
0.25,tree.161,no_ext,mape.mean,114.67231534843212
0.25,tree.161,no_ext,mape.median,127.52674302116793
0.25,tree.161,no_ext,mape.mean.new,96.29398250693417
0.25,tree.161,no_ext,mape.median.new,127.24860930063744
0.25,tree.162,no_ext,mape.incomplete,98.28319497757859
0.25,tree.162,no_ext,mape.mean,91.80326243754388
0.25,tree.162,no_ext,mape.median,98.62384731117191
0.25,tree.162,no_ext,mape.mean.new,93.74505442006942
0.25,tree.162,no_ext,mape.median.new,98.28319459236715
0.25,tree.163,no_ext,mape.incomplete,131.8949176457255
0.25,tree.163,no_ext,mape.mean,118.13269858760552
0.25,tree.163,no_ext,mape.median,133.02486259079632
0.25,tree.163,no_ext,mape.mean.new,113.72062065352766
0.25,tree.163,no_ext,mape.median.new,131.89491693571338
0.25,tree.164,no_ext,mape.incomplete,198.12372392673055
0.25,tree.164,no_ext,mape.mean,172.8869544737767
0.25,tree.164,no_ext,mape.median,200.7461873040993
0.25,tree.164,no_ext,mape.mean.new,160.90141939326347
0.25,tree.164,no_ext,mape.median.new,198.12372488507575
0.25,tree.165,no_ext,mape.incomplete,106.42859006358778
0.25,tree.165,no_ext,mape.mean,96.84753883188556
0.25,tree.165,no_ext,mape.median,106.4677907742582
0.25,tree.165,no_ext,mape.mean.new,94.14568452681614
0.25,tree.165,no_ext,mape.median.new,106.42858883745544
0.25,tree.166,no_ext,mape.incomplete,124.45000650048463
0.25,tree.166,no_ext,mape.mean,113.13571846726909
0.25,tree.166,no_ext,mape.median,124.98271285035123
0.25,tree.166,no_ext,mape.mean.new,97.69655253353248
0.25,tree.166,no_ext,mape.median.new,124.45000552312023
0.25,tree.167,no_ext,mape.incomplete,74.65831885727674
0.25,tree.167,no_ext,mape.mean,76.96148459773026
0.25,tree.167,no_ext,mape.median,78.51794985415664
0.25,tree.167,no_ext,mape.mean.new,58.81519300208363
0.25,tree.167,no_ext,mape.median.new,74.65832523679312
0.25,tree.168,no_ext,mape.incomplete,458.2194055053302
0.25,tree.168,no_ext,mape.mean,375.5981074068555
0.25,tree.168,no_ext,mape.median,458.0649545659685
0.25,tree.168,no_ext,mape.mean.new,355.8274687214614
0.25,tree.168,no_ext,mape.median.new,458.2193950266309
0.25,tree.169,no_ext,mape.incomplete,416.0431665919567
0.25,tree.169,no_ext,mape.mean,340.7515213850718
0.25,tree.169,no_ext,mape.median,415.62817485408436
0.25,tree.169,no_ext,mape.mean.new,373.8036417019257
0.25,tree.169,no_ext,mape.median.new,416.04315712139777
0.25,tree.17,no_ext,mape.incomplete,82.1608597681529
0.25,tree.17,no_ext,mape.mean,79.55864222402698
0.25,tree.17,no_ext,mape.median,82.98239520427977
0.25,tree.17,no_ext,mape.mean.new,64.52598631116524
0.25,tree.17,no_ext,mape.median.new,82.1608609132441
0.25,tree.170,no_ext,mape.incomplete,85.97420042148248
0.25,tree.170,no_ext,mape.mean,83.05319437536286
0.25,tree.170,no_ext,mape.median,89.28090079541887
0.25,tree.170,no_ext,mape.mean.new,77.881966791530445
0.25,tree.170,no_ext,mape.median.new,85.97420442581908
